Filename,vehicleBrand,vehicleModel,vehicleVariant,vehicleType,registrationNumber,productionDate,mileageFromOdometer,vehicleTransmission,fuelType,drivetrain,basePrice,fuelConsumptionCombined,emissionsCO2,companyName,companyLocation,sellerType,locationCity,locationRegion
15363697.html,Toyota,Yaris,Hatchback,Car,VSI-882,2006,184000,Manual,Petrol,Front wheel,3200,0.0,141,,,Seller,Hyvinkää,Uusimaa
15359091.html,Mercedes-Benz,S,Sedan,Car,ILU-176,2000,289000,Automatic,Petrol,Rear wheel,2890,0.0,,,,Seller,Siilinjärvi,Pohjois-Savo
15364193.html,Hyundai,Matrix,MPV,Car,SAI-521,2005,218000,Manual,Petrol,Front wheel,1590,8.5,205,Automyynti Saarakkala Oy,Kurikka,Dealer,Kurikka,Etelä-Pohjanmaa
15374671.html,Volkswagen,Sharan,MPV,Car,LZM-177,2012,524000,Automatic,Diesel,Front wheel,3800,5.7,149,,,Seller,Vaasa,Pohjanmaa
15360931.html,Toyota,Avensis,Station Wagon,Car,AOG-574,2005,374000,Manual,Petrol,Front wheel,1350,8.0,,,,Seller,Kangasniemi,Etelä-Savo
15368275.html,Skoda,Felicia,Hatchback,Car,ICI-917,2000,146700,Manual,Petrol,Front wheel,1300,0.0,,,,Seller,Vaasa,Pohjanmaa
15366620.html,Suzuki,Samurai,All-terrain SUV,Car,AIS-465,1998,173000,Manual,Petrol,Four wheel,5500,0.0,,,,Seller,Pyhäjoki,Pohjois-Pohjanmaa
15360609.html,Toyota,Corolla,Hatchback,Car,GPM-423,1989,118000,Manual,Petrol,Front wheel,5000,0.0,,,,Seller,Hyvinkää,Uusimaa
15365879.html,Skoda,Octavia,Sedan,Car,OPI-868,2005,128000,Manual,Petrol,Front wheel,3990,7.3,175,Jaremotors Oy,Piikkiö,Dealer,Piikkiö,Varsinais-Suomi
15359989.html,Fiat,Ducato,Short - Low,Van,SRG-994,2004,176000,Manual,Diesel,Front wheel,2000,0.0,,,,Seller,Laihia,Pohjanmaa
15360701.html,Toyota,Corolla,Hatchback,Car,FFX-128,2003,276020,Manual,Petrol,Front wheel,1500,0.0,,,,Seller,Karstula,Keski-Suomi
15375283.html,Honda,Jazz,Hatchback,Car,IJK-755,2010,136000,Automatic,Petrol,Front wheel,1800,0.0,128,,,Seller,Punkalaidun,Pirkanmaa
15360082.html,Volkswagen,Passat,Station Wagon,Car,FLE-847,2011,429000,Automatic,Diesel,Front wheel,3000,0.0,,,,Seller,Laukaa,Keski-Suomi
15371068.html,Audi,A4,Sedan,Car,FFN-414,2002,298000,Automatic,Petrol,Front wheel,1050,0.0,,,,Seller,Liperi,Pohjois-Karjala
15359668.html,Suzuki,Swift,Hatchback,Car,YHN-639,2012,140000,Automatic,Petrol,Front wheel,3000,0.0,128,,,Seller,Vantaa,Uusimaa
15360568.html,Peugeot,407,Station Wagon,Car,YGI-168,2006,255618,Manual,Petrol,Front wheel,1250,0.0,196,,,Seller,Uusikaupunki,Varsinais-Suomi
15366322.html,Volvo,S60,Sedan,Car,JEL-889,2001,281700,Automatic,Petrol,Front wheel,1990,9.0,223,,,Seller,Akaa,Pirkanmaa
15368531.html,Kia,Sorento,Station Wagon,Car,HNG-816,2006,390000,Manual,Diesel,Four wheel,1300,0.0,205,,,Seller,Lappeenranta,Etelä-Karjala
15363855.html,Ford,Focus,Station Wagon,Car,HRY-827,2011,268525,Manual,Petrol,Front wheel,2390,6.7,159,,,Seller,Lahti,Päijät-Häme
15361741.html,BMW,525,Station Wagon,Car,XOB-171,2011,379555,Automatic,Diesel,Rear wheel,9400,7.0,,,,Seller,Oulu,Pohjois-Pohjanmaa
15368599.html,Opel,Astra,Hatchback,Car,LHI-157,2004,264000,Automatic,Petrol,Front wheel,1499,0.0,,,,Seller,Kuopio,Pohjois-Savo
15362210.html,Mercedes-Benz,CLK,Coupé,Car,HSY-154,2003,399999,Manual,Diesel,Rear wheel,1000,0.0,,,,Seller,Espoo,Uusimaa
15368903.html,Dodge,Caliber,All-terrain SUV,Car,KHG-146,2007,300543,Manual,Diesel,Front wheel,1450,0.0,160,PureBuild Oy,Iitti,Dealer,Iitti,Päijät-Häme
15371104.html,Ford,Focus,Station Wagon,Car,ETI-969,2011,168500,Manual,Petrol,Front wheel,5500,0.0,139,,,Seller,Uusikaupunki,Varsinais-Suomi
15375957.html,Mercedes-Benz,V,MPV,Car,NLO-759,2014,229701,Automatic,Diesel,Rear wheel,28950,5.7,149,,,Seller,Vantaa,Uusimaa
15367137.html,Honda,Jazz,Hatchback,Car,XXY-405,2011,208000,Manual,Petrol,Front wheel,5390,0.0,129,AKA VAIHTOAUTOKESKUS,Kangasala,Dealer,Kangasala,Pirkanmaa
15366513.html,Audi,A6,Sedan,Car,JHE-791,2007,400000,Automatic,Diesel,Four wheel,2800,0.0,,,,Seller,Keminmaa,Lappi
15361292.html,Volkswagen,Jetta,Sedan,Car,XVL-627,2013,268000,Manual,Diesel,Front wheel,2000,0.0,109,,,Seller,Kotka,Kymenlaakso
15368936.html,Volkswagen,Transporter,Short - Low,Van,VMI-326,2000,411000,Manual,Diesel,Front wheel,2500,0.0,,TK-Motors,Kivijärvi,Dealer,Kivijärvi,Keski-Suomi
15360388.html,Cadillac,De Ville,Sedan,Car,CZL-16,1997,334000,Automatic,Petrol,Front wheel,1600,0.0,,,,Seller,Helsinki,Uusimaa
15372981.html,Peugeot,206,Hatchback,Car,HUF-596,2005,297564,Manual,Petrol,Front wheel,1290,0.0,149,,,Seller,Lahti,Päijät-Häme
15362292.html,Ford,Ranger,Pickup,Van,BTN-985,2009,390000,Manual,Diesel,Four wheel,1000,0.0,,,,Seller,Valkeakoski,Pirkanmaa
15358645.html,Ford,Mondeo,Station Wagon,Car,BPC-722,2011,321000,Automatic,Diesel,Front wheel,5000,0.0,173,,,Seller,Laihia,Pohjanmaa
15361570.html,Lexus,IS,Sedan,Car,MNU-778,2001,277669,Automatic,Petrol,Rear wheel,2500,0.0,,,,Seller,Kuopio,Pohjois-Savo
15361043.html,Volvo,S40,Sedan,Car,UBF-248,2008,303000,Manual,Diesel,Front wheel,2440,4.6,129,,,Seller,Kuopio,Pohjois-Savo
15363839.html,Skoda,Octavia,Station Wagon,Car,SVY-839,2010,364000,Manual,Diesel,Front wheel,2350,5.2,119,,,Seller,Siilinjärvi,Pohjois-Savo
15360450.html,Skoda,Octavia,Sedan,Car,SVG-284,2004,317000,Manual,Diesel,Front wheel,1000,0.0,,,,Seller,Taivalkoski,Pohjois-Pohjanmaa
15361660.html,Ford,Transit,MPV,Van,FKE-407,2010,324000,Manual,Diesel,Four wheel,7500,0.0,296,,,Seller,Jyväskylä,Keski-Suomi
15370533.html,Ford,Fiesta,Hatchback,Car,RVY-222,2004,214000,Manual,Petrol,Front wheel,1100,0.0,,,,Seller,Hollola,Päijät-Häme
15361545.html,Volkswagen,Caravelle,Long - Semihigh,Van,BYS-432,2000,167000,Manual,Petrol,Front wheel,2400,11.0,,,,Seller,Helsinki,Uusimaa
15360218.html,Hyundai,Tucson,All-terrain SUV,Car,TEI-609,2005,173000,Manual,Petrol,Four wheel,4000,0.0,194,,,Seller,Kotka,Kymenlaakso
15359213.html,Saab,9-3,Station Wagon,Car,ZMZ-670,2007,297000,Manual,Petrol,Front wheel,1750,0.0,197,Automyynti Penttilä,Sastamala,Dealer,Sastamala,Pirkanmaa
15363064.html,Audi,A4,Station Wagon,Car,IZA-152,2009,303000,Automatic,Diesel,Four wheel,5900,0.0,,,,Seller,Lahti,Päijät-Häme
15373799.html,Mercedes-Benz,ML,All-terrain SUV,Car,KNM-778,2012,391500,Automatic,Diesel,Four wheel,16300,0.0,179,Autotalo Tammer Cars,Tampere,Dealer,Tampere,Pirkanmaa
15367667.html,Toyota,Yaris,Hatchback,Car,BLY-243,2008,178000,Manual,Petrol,Front wheel,3890,6.0,141,CWR Garage,Nurmijärvi,Dealer,Nurmijärvi,Uusimaa
15365022.html,Fiat,600,Sedan,Car,ZHL-97,1972,16949,Manual,Petrol,Rear wheel,1200,0.0,,,,Seller,Kauniainen,Uusimaa
15361366.html,Mitsubishi,Colt,Hatchback,Car,JGE-116,2007,212600,Manual,Petrol,Front wheel,1800,0.0,138,,,Seller,Pietarsaari,Pohjanmaa
15365949.html,Peugeot,308,Station Wagon,Car,VVZ-542,2011,195000,Manual,Petrol,Front wheel,3990,6.7,155,Kuninkaanportin Auto,Porvoo,Dealer,Porvoo,Uusimaa
15369514.html,Mercedes-Benz,Sprinter,Middle long - Low,Van,FGG-174,2003,330000,Automatic,Diesel,Rear wheel,3600,0.0,,Autolinja,Nurmijärvi,Dealer,Nurmijärvi,Uusimaa
15359995.html,Ford,Focus,Station Wagon,Car,JJS-591,2015,172000,Manual,Petrol,Front wheel,5790,4.8,110,KIESI Espoo Koskelo,Espoo,Dealer,Espoo,Uusimaa
15365665.html,Tesla,Model 3,Sedan,Car,SRH-838,2024,20000,Automatic,Electric,Four wheel,52900,0.0,,AutoCorner,Turku,Dealer,Turku,Varsinais-Suomi
15360986.html,Chevrolet,Trans Sport,MPV,Car,BZR-112,2002,380000,Automatic,Petrol,Four wheel,1200,0.0,303,,,Seller,Järvenpää,Uusimaa
15360368.html,Audi,A6,Station Wagon,Car,KPV-990,2005,420000,Automatic,Diesel,Four wheel,1000,0.0,,,,Seller,Kauhava,Etelä-Pohjanmaa
15358896.html,Volkswagen,Touran,All-terrain SUV,Car,XOF-447,2003,293000,Manual,Petrol,Front wheel,1850,0.0,180,,,Seller,Turku,Varsinais-Suomi
15364815.html,Opel,Corsa,Hatchback,Car,IXE-138,2008,200160,Manual,Petrol,Front wheel,1250,0.0,146,,,Seller,Tuusula,Uusimaa
15368623.html,Skoda,Octavia,Station Wagon,Car,ACG-778,2005,478000,Automatic,Diesel,Front wheel,1300,5.5,138,,,Seller,Tampere,Pirkanmaa
15375702.html,Toyota,Corolla,Sedan,Car,IGV-487,1998,176000,Manual,Petrol,Front wheel,1100,6.8,,,,Seller,Jyväskylä,Keski-Suomi
15361954.html,Nissan,Note,Hatchback,Car,MKY-439,2008,291363,Manual,Diesel,Front wheel,1750,0.0,135,,,Seller,Riihimäki,Kanta-Häme
15368658.html,Volkswagen,Passat,Station Wagon,Car,MRY-641,2008,424955,Manual,Diesel,Front wheel,1490,0.0,,,,Seller,Tuusniemi,Pohjois-Savo
15365311.html,Audi,A5,Coupé,Car,HEZ-930,2009,270000,Automatic,Diesel,Four wheel,9490,6.5,182,,,Seller,Nivala,Pohjois-Pohjanmaa
15375200.html,Skoda,Roomster,MPV,Car,CIJ-382,2012,250000,Manual,Diesel,Front wheel,1500,0.0,124,,,Seller,Nastola,Päijät-Häme
15361613.html,Volvo,V50,Station Wagon,Car,,2010,255000,Manual,Diesel,Front wheel,5490,0.0,104,VaihtoauToni Oy,Kangasala,Dealer,Kangasala,Pirkanmaa
15371705.html,Mercedes-Benz,A,MPV,Car,GHU-811,2005,292,Automatic,Petrol,Front wheel,1500,0.0,172,,,Seller,Tampere,Pirkanmaa
15369481.html,Ford,Transit,Short - Low,Van,ORY-690,2007,315000,Manual,Diesel,Front wheel,1150,0.0,,,,Seller,Pöytyä,Varsinais-Suomi
15370254.html,Volvo,V70,Station Wagon,Car,LOV-985,2015,345000,Automatic,Diesel,Front wheel,8790,4.5,119,JVK CARS,Ylöjärvi,Dealer,Ylöjärvi,Pirkanmaa
15375349.html,Toyota,RAV4,Other,Van,FPX-673,2003,,Manual,Diesel,Four wheel,1400,0.0,,,,Seller,Säkylä,Satakunta
15358678.html,Citroen,C5,Station Wagon,Car,MAZ-446,2010,258000,Automatic,Petrol,Front wheel,3850,0.0,179,,,Seller,Kotka,Kymenlaakso
15360208.html,Skoda,Octavia,Station Wagon,Car,RSU-769,2006,327231,Manual,Petrol,Four wheel,1100,0.0,,,,Seller,Salo,Varsinais-Suomi
15365183.html,Volvo,S80,Sedan,Car,ZVI-879,2006,287500,Automatic,Petrol,Front wheel,4490,9.7,232,Autopalvelu Markus Soininen Oy,Espoo,Dealer,Espoo,Uusimaa
15362700.html,Nissan,Primastar,Long - Low,Van,FPI-483,2023,77000,Automatic,Diesel,Front wheel,25890,0.0,,Auto7,Tuusula,Dealer,Tuusula,Uusimaa
15360282.html,Toyota,Avensis,Station Wagon,Car,KKF-290,2005,252000,Manual,Petrol,Front wheel,2500,7.4,172,,,Seller,Seinäjoki,Etelä-Pohjanmaa
15370414.html,Volvo,V70,Station Wagon,Car,SNP-766,2011,240111,Manual,Diesel,Front wheel,11500,0.0,,,,Seller,Eurajoki,Satakunta
15367067.html,Toyota,Corolla,Station Wagon,Car,ZBI-297,2006,371113,Manual,Petrol,Front wheel,2500,0.0,160,,,Seller,Oulu,Pohjois-Pohjanmaa
15358252.html,Citroen,C3,Hatchback,Car,KMR-258,2014,110948,Manual,Petrol,Front wheel,3990,4.6,107,AutoBike Nurmijärvi,Nurmijärvi,Dealer,Nurmijärvi,Uusimaa
15361169.html,Toyota,Auris,Hatchback,Car,GJL-873,2011,266100,Manual,Petrol,Front wheel,4800,6.6,153,,,Seller,Kurikka,Etelä-Pohjanmaa
15360611.html,Fiat,Punto,Hatchback,Car,XPK-488,2004,123000,Manual,Petrol,Front wheel,1390,5.5,136,,,Seller,Rovaniemi,Lappi
15365906.html,Volvo,S60,Sedan,Car,RPX-674,2008,328000,Automatic,Diesel,Front wheel,3890,7.5,199,GT-Auto Vantaa,Vantaa,Dealer,Vantaa,Uusimaa
15369815.html,Volkswagen,Touran,MPV,Car,EOG-816,2004,418000,Automatic,Diesel,Front wheel,1200,0.0,,,,Seller,Leppävirta,Pohjois-Savo
15359458.html,Toyota,Aygo,Hatchback,Car,BTM-220,2015,75800,Manual,Petrol,Front wheel,6300,0.0,95,,,Seller,Kotka,Kymenlaakso
15359754.html,Audi,A3,Hatchback,Car,,2001,342965,Manual,Petrol,Front wheel,1100,0.0,,,,Seller,Karkkila,Uusimaa
15358680.html,Fiat,Ducato,Extension cabin,Light truck,KKF-848,2005,292000,Manual,Diesel,Front wheel,5000,0.0,,,,Seller,Seinäjoki,Etelä-Pohjanmaa
15367445.html,Toyota,Hilux,Pickup,Van,HBR-562,1997,445000,Manual,Diesel,Four wheel,5000,0.0,,,,Seller,Hämeenkyrö,Pirkanmaa
15369068.html,Seat,Altea XL,MPV,Car,UCZ-425,2007,362000,Manual,Petrol,Front wheel,1290,0.0,,,,Seller,Laukaa,Keski-Suomi
15366255.html,BMW,316,Sedan,Car,BIX-513,1999,355000,Manual,Petrol,Rear wheel,1950,0.0,187,,,Seller,Hämeenkyrö,Pirkanmaa
15360136.html,Nissan,Qashqai,All-terrain SUV,Car,YVT-727,2010,191000,Manual,Petrol,Front wheel,6900,7.0,155,VT AUTOSTYLE,Kangasala,Dealer,Kangasala,Pirkanmaa
15373511.html,Volkswagen,Passat,Sedan,Car,REZ-943,2004,145000,Manual,Petrol,Front wheel,2800,0.0,,,,Seller,Turku,Varsinais-Suomi
15367842.html,Ford,Fiesta,Hatchback,Car,UNI-885,2004,288000,Manual,Petrol,Front wheel,1090,0.0,154,Auto ja Kone Alanojat,Hämeenlinna,Dealer,Hämeenlinna,Kanta-Häme
15366711.html,Ford,F250,Pickup,Light truck,MOB-319,2004,220000,Automatic,Diesel,Four wheel,21990,0.0,,Spectran Oy,Pirkkala,Dealer,Pirkkala,Pirkanmaa
15369113.html,Opel,Corsa,Hatchback,Car,IMB-554,2015,122000,Manual,Petrol,Front wheel,5200,0.0,106,,,Seller,Oulu,Pohjois-Pohjanmaa
15360201.html,Audi,A4,Sedan,Car,OEY-777,2001,379000,Manual,Petrol,Four wheel,2500,9.0,221,,,Seller,Heinävesi,Pohjois-Karjala
15368319.html,Renault,Laguna,Hatchback,Car,VIB-458,1998,162799,Automatic,Petrol,Front wheel,1490,0.0,,,,Seller,Tampere,Pirkanmaa
15363540.html,Volvo,V50,Station Wagon,Car,FIF-512,2005,354000,Automatic,Petrol,Front wheel,3690,9.6,229,RS-Trade,Tampere,Dealer,Tampere,Pirkanmaa
15363389.html,Toyota,Hiace,Long - Low,Van,BYE-841,1999,488660,Manual,Diesel,Rear wheel,4000,0.0,,,,Seller,Rovaniemi,Lappi
15369123.html,Toyota,Avensis,Sedan,Car,XIL-462,1999,286000,Manual,Petrol,Front wheel,1500,0.0,185,,,Seller,Pyhäjärvi,Pohjois-Pohjanmaa
15362851.html,Mercedes-Benz,E,Sedan,Car,CHR-475,2005,456000,Automatic,Diesel,Rear wheel,1000,0.0,,,,Seller,Kuusamo,Pohjois-Pohjanmaa
15363718.html,Peugeot,206,Hatchback,Car,ZKG-604,2004,156000,Manual,Petrol,Front wheel,1500,0.0,149,,,Seller,Oulu,Pohjois-Pohjanmaa
15359349.html,Opel,Insignia,Sedan,Car,LOZ-257,2009,208000,Manual,Petrol,Front wheel,3000,0.0,182,,,Seller,Helsinki,Uusimaa
15361413.html,Ford,Fiesta,Other,Car,AGB-227,1992,76800,Manual,Petrol,Front wheel,1000,6.0,,,,Seller,Korsnäs,Pohjanmaa
15366038.html,Mercedes-Benz,Vito,Long - Semihigh,Van,UMY-605,2005,487000,Automatic,Diesel,Rear wheel,2000,0.0,,,,Seller,Salo,Varsinais-Suomi
15373294.html,Peugeot,307,Hatchback,Car,NGE-303,2004,142219,Manual,Petrol,Front wheel,1700,0.0,169,,,Seller,Hämeenkyrö,Pirkanmaa
15370623.html,Toyota,Iq,Hatchback,Car,IG-130,2010,,Automatic,Petrol,Front wheel,8900,0.0,109,AUTO PAIKKA,Helsinki,Dealer,Helsinki,Uusimaa
15374830.html,Mazda,6,Hatchback,Car,NHB-672,2007,264764,Manual,Petrol,Front wheel,1000,0.0,191,,,Seller,Salo,Varsinais-Suomi
15372944.html,Mitsubishi,Pajero,All-terrain SUV,Car,NTS-79,1989,388192,Manual,Petrol,Four wheel,2800,10.0,,,,Seller,Parikkala,Etelä-Karjala
15366497.html,Nissan,Navara,Pickup,Van,LPI-169,2005,265000,Manual,Diesel,Four wheel,1500,0.0,,,,Seller,Kuopio,Pohjois-Savo
15366565.html,Peugeot,307,Hatchback,Car,NFF-752,2003,173000,Manual,Petrol,Front wheel,1499,0.0,169,,,Seller,Lahti,Päijät-Häme
15363273.html,Volvo,XC70,Station Wagon,Car,AJY-243,2008,,Automatic,Diesel,Four wheel,5900,0.0,,,,Seller,Haukipudas,Pohjois-Pohjanmaa
15373571.html,BMW,520,Station Wagon,Car,EIF-479,1997,340000,Automatic,Petrol,Rear wheel,2000,0.0,,,,Seller,Oulu,Pohjois-Pohjanmaa
15375320.html,Volvo,V70,Station Wagon,Car,SBZ-459,2003,396163,Manual,Petrol,Front wheel,1300,0.0,,,,Seller,Salo,Varsinais-Suomi
15366812.html,Volvo,V70,Station Wagon,Car,FER-298,2001,466000,Automatic,Petrol,Four wheel,1600,0.0,,,,Seller,Rovaniemi,Lappi
15362592.html,BMW,520,Sedan,Car,ISV-733,2012,147000,Automatic,Petrol,Rear wheel,12900,0.0,,Vaihtokaara Vantaa Airport,Vantaa,Dealer,Vantaa,Uusimaa
15365112.html,Mercedes-Benz,E,Sedan,Car,RSN-684,2016,284000,Automatic,Diesel,Rear wheel,19900,4.3,112,RealCars Oy,Jyväskylä,Dealer,Jyväskylä,Keski-Suomi
15358424.html,Honda,Civic,Hatchback,Car,TMZ-397,2010,188000,Automatic,Petrol,Front wheel,4990,7.3,169,Etelän Autoliike - Porvoo,Porvoo,Dealer,Porvoo,Uusimaa
15360655.html,Nissan,Qashqai,All-terrain SUV,Car,XRI-190,2007,334000,Manual,Petrol,Front wheel,1200,0.0,,,,Seller,Valkeakoski,Pirkanmaa
15374006.html,Dodge,Ram 2500,Pickup,Light truck,JBY-27,1994,,Automatic,Diesel,Four wheel,3500,0.0,,,,Seller,Kälviä,Keski-Pohjanmaa
15360397.html,BMW,535,Station Wagon,Car,YJM-931,2010,339500,Automatic,Diesel,Rear wheel,12900,0.0,,,,Seller,Siilinjärvi,Pohjois-Savo
15372922.html,Audi,A4,Station Wagon,Car,AOG-238,2006,365825,Automatic,Petrol,Front wheel,2000,0.0,,,,Seller,Nurmijärvi,Uusimaa
15368393.html,Ford,Transit,Long - Semihigh,Van,IJS-242,2011,421000,Manual,Diesel,Front wheel,4950,8.4,222,Pirkanmaan Hyötyautot Oy,Ylöjärvi,Dealer,Ylöjärvi,Pirkanmaa
15359686.html,Mercedes-Benz,C,Station Wagon,Car,LYY-396,2004,574235,Manual,Diesel,Rear wheel,1100,0.0,,,,Seller,Kiuruvesi,Pohjois-Savo
15372628.html,Toyota,Avensis,Sedan,Car,RUF-919,2007,237000,Manual,Petrol,Front wheel,3700,7.2,172,Kelpo Kaara Oy,Kangasala,Dealer,Kangasala,Pirkanmaa
15358736.html,BMW,320,Station Wagon,Car,TTZ-932,2006,430000,Automatic,Diesel,Rear wheel,1700,0.0,,,,Seller,Juuka,Pohjois-Karjala
15359088.html,Toyota,Corolla,Hatchback,Car,EIB-786,1997,364740,Manual,Petrol,Front wheel,1500,0.0,,,,Seller,Pyhäjärvi,Pohjois-Pohjanmaa
15359983.html,Tesla,Model Y,All-terrain SUV,Car,LSV-438,2022,60000,Automatic,Electric,Four wheel,38290,0.0,,KIESI Helsinki Konala,Helsinki,Dealer,Helsinki,Uusimaa
15366453.html,Skoda,Octavia,Station Wagon,Car,SOY-237,2007,360190,Manual,Diesel,Front wheel,1500,6.0,,,,Seller,Kajaani,Kainuu
15365636.html,Volkswagen,Golf,Station Wagon,Car,GHP-548,2007,258000,Automatic,Petrol,Front wheel,4800,7.1,169,JA Kone Oy,Lieksa,Dealer,Lieksa,Pohjois-Karjala
15359461.html,Mercedes-Benz,CLC,Coupé,Car,OUJ-934,2008,173000,Manual,Petrol,Rear wheel,2000,0.0,,,,Seller,Savonlinna,Etelä-Savo
15360334.html,Citroen,C1,Hatchback,Car,GJI-285,2011,150061,Manual,Petrol,Front wheel,1790,0.0,,,,Seller,Kokkola,Keski-Pohjanmaa
15370632.html,Audi,Q7,All-terrain SUV,Car,IOR-245,2009,320000,Automatic,Diesel,Four wheel,10990,9.8,260,Vaihtokaara Hyvinkää,Hyvinkää,Dealer,Hyvinkää,Uusimaa
15361985.html,Ford,Tourneo Connect,Short - Low,Van,OTI-139,2006,225000,Manual,Petrol,Front wheel,2500,0.0,,,,Seller,Hollola,Päijät-Häme
15375813.html,Toyota,Yaris,Hatchback,Car,MOE-956,2009,294400,Manual,Diesel,Front wheel,1800,0.0,110,,,Seller,Vantaa,Uusimaa
15359257.html,Toyota,Corolla,Sedan,Car,EZP-503,2003,335000,Manual,Petrol,Front wheel,2250,0.0,168,,,Seller,Teuva,Etelä-Pohjanmaa
15360246.html,Mercedes-Benz,Sprinter,Semilong - High,Van,KLF-360,2005,341600,Automatic,Diesel,Rear wheel,4200,0.0,,,,Seller,Karkkila,Uusimaa
15358430.html,Skoda,Octavia,Sedan,Car,BKG-243,2005,349000,Manual,Petrol,Front wheel,1790,7.3,175,Etelän Autoliike - Porvoo,Porvoo,Dealer,Porvoo,Uusimaa
15358536.html,BMW,X3,All-terrain SUV,Car,EMY-987,2008,325000,Manual,Diesel,Four wheel,1800,0.0,,,,Seller,Rovaniemi,Lappi
15365322.html,Ford,Mondeo,Station Wagon,Car,LMH-111,2013,238000,Automatic,Diesel,Front wheel,5990,5.6,149,Visa-Auto Oy,Raisio,Dealer,Raisio,Varsinais-Suomi
15372548.html,Mercedes-Benz,C,Sedan,Car,NIC-576,2012,250000,Automatic,Diesel,Four wheel,11000,0.0,144,,,Seller,Mikkeli,Etelä-Savo
15359938.html,Seat,Exeo ST,Station Wagon,Car,MKX-755,2012,262109,Manual,Diesel,Front wheel,4100,0.0,132,,,Seller,Kokkola,Keski-Pohjanmaa
15371336.html,Audi,Q7,All-terrain SUV,Car,UUG-877,2008,301000,Automatic,Diesel,Four wheel,9900,0.0,294,,,Seller,Helsinki,Uusimaa
15373540.html,Volkswagen,Touran,All-terrain SUV,Car,ECF-190,2006,398000,Manual,Diesel,Front wheel,1800,0.0,,,,Seller,Hämeenlinna,Kanta-Häme
15368734.html,Opel,Insignia,Station Wagon,Car,SLH-863,2013,305000,Manual,Petrol,Front wheel,3500,0.0,134,,,Seller,Jyväskylä,Keski-Suomi
15361185.html,Skoda,Fabia,Station Wagon,Car,CTE-119,2015,134000,Manual,Petrol,Front wheel,8990,0.0,110,,,Seller,Parainen,Varsinais-Suomi
15374703.html,Volvo,240,Sedan,Car,YAC-509,1990,388000,Manual,Petrol,Rear wheel,2500,0.0,,,,Seller,Ylöjärvi,Pirkanmaa
15363922.html,Renault,Clio,Hatchback,Car,MIY-961,1999,140000,Manual,Petrol,Front wheel,1250,0.0,160,,,Seller,Helsinki,Uusimaa
15374833.html,Mazda,3,Hatchback,Car,XLF-862,2003,223600,Automatic,Petrol,Front wheel,2200,0.0,191,,,Seller,Kaarina,Varsinais-Suomi
15367507.html,Ford,Transit Custom,Long - Semihigh,Van,ETT-887,2020,93000,Manual,Diesel,Front wheel,19500,0.0,,,,Seller,Espoo,Uusimaa
15374831.html,Nissan,Primera,Station Wagon,Car,IKI-439,2005,225251,Manual,Petrol,Front wheel,1450,0.0,220,,,Seller,Salo,Varsinais-Suomi
15365945.html,Jaguar,S-Type,Sedan,Car,IHV-758,2005,216330,Automatic,Diesel,Rear wheel,4000,0.0,,,,Seller,Nokia,Pirkanmaa
15365482.html,Dacia,Duster,All-terrain SUV,Car,CIL-538,2011,230800,Manual,Diesel,Four wheel,5000,0.0,145,,,Seller,Jyväskylä,Keski-Suomi
15375366.html,Mercedes-Benz,270,Sedan,Car,GIU-769,2003,,Automatic,Diesel,Rear wheel,3490,5.6,,,,Seller,Evijärvi,Etelä-Pohjanmaa
15373435.html,Volvo,940,Station Wagon,Car,AGZ-822,1996,403000,Manual,Petrol,Rear wheel,1600,0.0,,,,Seller,Kotka,Kymenlaakso
15360758.html,Citroen,2CV,Convertible,Car,AZ-55,1955,,Manual,Petrol,Front wheel,3300,0.0,,,,Seller,Porvoo,Uusimaa
15362065.html,Mercedes-Benz,C,Station Wagon,Car,VVB-900,2012,285000,Automatic,Diesel,Rear wheel,7600,5.2,136,,,Seller,Jyväskylä,Keski-Suomi
15363092.html,Toyota,Corolla,Sedan,Car,HSI-620,2008,184600,Manual,Petrol,Front wheel,6890,6.9,162,,,Seller,Oulu,Pohjois-Pohjanmaa
15360371.html,Mazda,3,Hatchback,Car,YHP-769,2011,145000,Automatic,Petrol,Front wheel,8500,7.6,175,,,Seller,Turku,Varsinais-Suomi
15371019.html,Audi,A6,Sedan,Car,AGZ-769,1996,550000,Automatic,E85/petrol,Four wheel,1450,10.0,,,,Seller,Mikkeli,Etelä-Savo
15360002.html,Mercedes-Benz,Sprinter,Semilong - High,Van,GJS-298,2008,262000,Manual,Diesel,Rear wheel,4300,0.0,269,,,Seller,Kaustinen,Keski-Pohjanmaa
15361427.html,Mercedes-Benz,E,Sedan,Car,IMM-150,2014,219000,Automatic,Diesel,Rear wheel,13800,0.0,,,,Seller,Järvenpää,Uusimaa
15360338.html,Fiat,Scudo,Short - Semihigh,Van,BNI-580,2006,400500,Manual,Diesel,Front wheel,2500,0.0,,,,Seller,Polvijärvi,Pohjois-Karjala
15371280.html,Opel,Rekord,Coupé,Car,OLD-54,1965,1000,Manual,Petrol,Rear wheel,8500,9.0,,,,Seller,Seinäjoki,Etelä-Pohjanmaa
15366205.html,Mitsubishi,Grandis,MPV,Car,HTG-603,2008,270500,Manual,Petrol,Front wheel,2900,0.0,223,Janne Mäkynen Ky,Töysä,Dealer,Töysä,Etelä-Pohjanmaa
